"docUuid","visitors","desktop_all_R","desktop_all_V","desktop_all_S3"
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","525792",313531,434775,323984
"99301356-9953-11e8-8039-2078d824af27","255872",135563,223889,171358
"e028d788-a1f1-11e8-9f37-8f4a631f500f","250861",150858,216562,160768
"c83591a6-a05d-11e8-af80-8f4a631f500f","241965",146741,187083,149481
"3446b5f6-956d-11e8-a183-fc60c095174f","219731",168004,195067,175362
"ae8e992c-a08b-11e8-9082-41d95f45639c","210891",110346,171051,115361
"6c6da284-9f98-11e8-bbcf-eb1702e95e35","199090",99507,181797,102776
"3446b5f6-956d-11e8-a183-fc60c095174f","189875",141823,163887,148769
"3d66192a-9490-11e8-9907-2078d824af27","189041",121234,156594,126869
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","166532",98097,131529,101845
"e028d788-a1f1-11e8-9f37-8f4a631f500f","157542",80442,117821,85105
"99301356-9953-11e8-8039-2078d824af27","149778",75621,123201,95447
"fa18e6d4-9bb5-11e8-a60f-eb1702e95e35","145605",23364,116767,94027
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","145078",83436,113167,86824
"b769cd20-a2b4-11e8-9c73-8f4a631f500f","142381",55044,127018,60833
"85c70544-9a3f-11e8-8dd7-f017b12b5a53","140785",62181,109062,64836
"ae91f93c-964f-11e8-aa2d-2078d824af27","140762",75090,121436,76411
"69f972a4-a168-11e8-9077-41d95f45639c","140137",70794,118388,73247
"c83591a6-a05d-11e8-af80-8f4a631f500f","133677",77522,99142,79116
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","132697",80763,93881,85942
"e028d788-a1f1-11e8-9f37-8f4a631f500f","132626",65751,96669,69808
"94bc8c7e-9c8b-11e8-a40e-a25db12b5a53","130294",62622,97159,65190
"72319330-9ed3-11e8-8dc8-eb1702e95e35","126450",85404,104390,87959
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","124521",66450,87126,68727
"e028d788-a1f1-11e8-9f37-8f4a631f500f","123246",73075,104654,78039
"50d199a0-a460-11e8-98a1-41d95f45639c","111587",55606,96585,58379
