"docUuid","visitors","date","isLong","timeReadExpected"
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","525792","2018-08-10",0,68
"99301356-9953-11e8-8039-2078d824af27","255872","2018-08-06",0,35
"e028d788-a1f1-11e8-9f37-8f4a631f500f","250861","2018-08-17",0,56
"c83591a6-a05d-11e8-af80-8f4a631f500f","241965","2018-08-15",0,83
"3446b5f6-956d-11e8-a183-fc60c095174f","219731","2018-08-01",0,42
"ae8e992c-a08b-11e8-9082-41d95f45639c","210891","2018-08-16",0,46
"6c6da284-9f98-11e8-bbcf-eb1702e95e35","199090","2018-08-14",0,40
"3446b5f6-956d-11e8-a183-fc60c095174f","189875","2018-08-02",0,41
"3d66192a-9490-11e8-9907-2078d824af27","189041","2018-08-01",0,51
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","166532","2018-08-09",0,60
"e028d788-a1f1-11e8-9f37-8f4a631f500f","157542","2018-08-18",0,56
"99301356-9953-11e8-8039-2078d824af27","149778","2018-08-07",0,33
"fa18e6d4-9bb5-11e8-a60f-eb1702e95e35","145605","2018-08-09",1,1311
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","145078","2018-08-08",0,60
"b769cd20-a2b4-11e8-9c73-8f4a631f500f","142381","2018-08-20",0,48
"85c70544-9a3f-11e8-8dd7-f017b12b5a53","140785","2018-08-08",0,51
"ae91f93c-964f-11e8-aa2d-2078d824af27","140762","2018-08-03",0,58
"69f972a4-a168-11e8-9077-41d95f45639c","140137","2018-08-17",1,157
"c83591a6-a05d-11e8-af80-8f4a631f500f","133677","2018-08-16",0,85
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","132697","2018-08-09",0,41
"e028d788-a1f1-11e8-9f37-8f4a631f500f","132626","2018-08-19",0,53
"94bc8c7e-9c8b-11e8-a40e-a25db12b5a53","130294","2018-08-11",0,41
"72319330-9ed3-11e8-8dc8-eb1702e95e35","126450","2018-08-13",0,58
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","124521","2018-08-09",0,59
"e028d788-a1f1-11e8-9f37-8f4a631f500f","123246","2018-08-20",0,56
"50d199a0-a460-11e8-98a1-41d95f45639c","111587","2018-08-21",0,26
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","110608","2018-08-11",0,62
"10e87e8a-94a2-11e8-ba78-2078d824af27","107892","2018-08-01",0,49
"94bc8c7e-9c8b-11e8-a40e-a25db12b5a53","107292","2018-08-13",0,42
"0e3b9ca8-9ef7-11e8-9137-eb1702e95e35","104997","2018-08-14",0,38
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","104320","2018-08-13",0,66
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","103656","2018-08-10",0,64
"c429cfac-9593-11e8-863b-fc60c095174f","101747","2018-08-02",0,47
"3a0c5bde-a52c-11e8-bd20-41d95f45639c","99190","2018-08-21",0,81
"ae91f93c-964f-11e8-aa2d-2078d824af27","97951","2018-08-02",0,63
"0e3b9ca8-9ef7-11e8-9137-eb1702e95e35","94193","2018-08-13",0,35
"94bc8c7e-9c8b-11e8-a40e-a25db12b5a53","93839","2018-08-12",0,41
"50d199a0-a460-11e8-98a1-41d95f45639c","93171","2018-08-20",0,25
"335b20e6-9f90-11e8-80d1-eb1702e95e35","90978","2018-08-14",0,55
"94bc8c7e-9c8b-11e8-a40e-a25db12b5a53","90533","2018-08-10",0,41
"6c6da284-9f98-11e8-bbcf-eb1702e95e35","90366","2018-08-15",0,37
"ae8e992c-a08b-11e8-9082-41d95f45639c","88713","2018-08-15",0,44
"9a432d1c-9fa9-11e8-b1b7-a25db12b5a53","82953","2018-08-14",0,75
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","80775","2018-08-12",0,62
"163999e2-9af0-11e8-87aa-1e0e02e95e35","78575","2018-08-08",0,52
"bc306efe-a44e-11e8-b3aa-41d95f45639c","77329","2018-08-20",0,59
"2104c2e2-9eca-11e8-ba53-eb1702e95e35","73571","2018-08-13",0,65
"c8ba8210-94b1-11e8-ac97-2078d824af27","72397","2018-08-01",0,51
"f0342652-96f5-11e8-83ad-2078d824af27","72030","2018-08-03",0,28
"0814e520-9d3d-11e8-89aa-a25db12b5a53","69936","2018-08-13",1,348
"9a432d1c-9fa9-11e8-b1b7-a25db12b5a53","69464","2018-08-15",0,75
"5465e68c-9968-11e8-b9c7-852902e95e35","68366","2018-08-07",0,44
"85c70544-9a3f-11e8-8dd7-f017b12b5a53","68205","2018-08-07",0,52
"fe3217ec-9a0f-11e8-b345-107bb12b5a53","66881","2018-08-07",0,71
"72319330-9ed3-11e8-8dc8-eb1702e95e35","62337","2018-08-14",0,61
"6d99ea58-a125-11e8-85de-8f4a631f500f","62023","2018-08-16",0,58
"163999e2-9af0-11e8-87aa-1e0e02e95e35","58752","2018-08-09",0,52
"7990d002-9fbc-11e8-9724-a25db12b5a53","57933","2018-08-15",0,28
