,docUuid,desktop_search_V,traffic_dif,descktop_search_V_mean_by_id
5,ae8e992c-a08b-11e8-9082-41d95f45639c,2162,1679.7142857142858,482.2857142857143
0,d138d0c6-9bf6-11e8-8f8e-eb1702e95e35,2040,1627.125,412.875
26,510a1d42-9c87-11e8-9dc5-a25db12b5a53,2317,1553.909090909091,763.0909090909091
8,3d66192a-9490-11e8-9907-2078d824af27,1826,1515.7777777777778,310.22222222222223
19,1a789cb2-9b07-11e8-b29c-f017b12b5a53,1906,1503.6666666666667,402.3333333333333
27,10e87e8a-94a2-11e8-ba78-2078d824af27,1645,1281.375,363.625
38,335b20e6-9f90-11e8-80d1-eb1702e95e35,2041,1280.6,760.4
30,510a1d42-9c87-11e8-9dc5-a25db12b5a53,1586,822.9090909090909,763.0909090909091
16,ae91f93c-964f-11e8-aa2d-2078d824af27,1093,812.3333333333333,280.6666666666667
18,c83591a6-a05d-11e8-af80-8f4a631f500f,912,652.2857142857142,259.7142857142857
51,5465e68c-9968-11e8-b9c7-852902e95e35,786,637.4,148.6
73,a5dc0066-a154-11e8-84d8-8f4a631f500f,950,628.5,321.5
101,c429cfac-9593-11e8-863b-fc60c095174f,861,618.75,242.25
88,10e87e8a-94a2-11e8-ba78-2078d824af27,956,592.375,363.625
7,3446b5f6-956d-11e8-a183-fc60c095174f,798,592.1,205.9
9,6d7eb81e-9af9-11e8-88d9-f017b12b5a53,700,562.8888888888889,137.11111111111111
29,0e3b9ca8-9ef7-11e8-9137-eb1702e95e35,914,562.25,351.75
6,6c6da284-9f98-11e8-bbcf-eb1702e95e35,875,560.0,315.0
64,335b20e6-9f90-11e8-80d1-eb1702e95e35,1258,497.6,760.4
47,c8ba8210-94b1-11e8-ac97-2078d824af27,849,488.8,360.2
31,510a1d42-9c87-11e8-9dc5-a25db12b5a53,1231,467.9090909090909,763.0909090909091
110,3d66192a-9490-11e8-9907-2078d824af27,770,459.77777777777777,310.22222222222223
72,4b3cddae-9a2b-11e8-a40c-1e0e02e95e35,549,413.1428571428571,135.85714285714286
96,510a1d42-9c87-11e8-9dc5-a25db12b5a53,1148,384.9090909090909,763.0909090909091
32,c429cfac-9593-11e8-863b-fc60c095174f,616,373.75,242.25
77,421f65a6-93f6-11e8-925d-fc60c095174f,454,365.25,88.75
50,9a432d1c-9fa9-11e8-b1b7-a25db12b5a53,487,329.8,157.2
59,2638cfae-9c74-11e8-96ad-a25db12b5a53,582,328.7142857142857,253.28571428571428
43,510a1d42-9c87-11e8-9dc5-a25db12b5a53,1088,324.9090909090909,763.0909090909091
56,163999e2-9af0-11e8-87aa-1e0e02e95e35,446,323.3333333333333,122.66666666666667
60,4f70ab5a-9a33-11e8-a608-f017b12b5a53,429,291.75,137.25
57,7990d002-9fbc-11e8-9724-a25db12b5a53,455,284.75,170.25
264,f7b56108-8e75-11e8-b34d-8869a7fcb7dc,636,282.6666666666667,353.3333333333333
3,c83591a6-a05d-11e8-af80-8f4a631f500f,532,272.2857142857143,259.7142857142857
87,c8ba8210-94b1-11e8-ac97-2078d824af27,632,271.8,360.2
154,fd0296d2-93ff-11e8-a43c-fc60c095174f,442,254.5,187.5
143,3446b5f6-956d-11e8-a183-fc60c095174f,460,254.1,205.9
49,0814e520-9d3d-11e8-89aa-a25db12b5a53,475,230.125,244.875
144,fb4e9adc-958c-11e8-89f9-fc60c095174f,317,227.85714285714286,89.14285714285714
106,2638cfae-9c74-11e8-96ad-a25db12b5a53,481,227.71428571428572,253.28571428571428
469,94bc8c7e-9c8b-11e8-a40e-a25db12b5a53,493,225.25,267.75
124,1a789cb2-9b07-11e8-b29c-f017b12b5a53,626,223.66666666666669,402.3333333333333
481,94bc8c7e-9c8b-11e8-a40e-a25db12b5a53,490,222.25,267.75
17,69f972a4-a168-11e8-9077-41d95f45639c,362,213.83333333333334,148.16666666666666
62,0814e520-9d3d-11e8-89aa-a25db12b5a53,451,206.125,244.875
90,82386dd2-9ba2-11e8-86e9-a25db12b5a53,301,184.2,116.8
80,7dedba16-9bd4-11e8-b6f7-a25db12b5a53,289,181.6,107.4
15,85c70544-9a3f-11e8-8dd7-f017b12b5a53,367,176.33333333333334,190.66666666666666
92,d138d0c6-9bf6-11e8-8f8e-eb1702e95e35,584,171.125,412.875
115,85c70544-9a3f-11e8-8dd7-f017b12b5a53,355,164.33333333333334,190.66666666666666
68,fb4e9adc-958c-11e8-89f9-fc60c095174f,230,140.85714285714286,89.14285714285714
2,e028d788-a1f1-11e8-9f37-8f4a631f500f,585,134.0,451.0
76,a5956c8a-9ee0-11e8-ad05-a25db12b5a53,308,129.66666666666666,178.33333333333334
191,e129338e-963f-11e8-a542-2078d824af27,188,129.4,58.6
91,21b31f3a-a12d-11e8-be1d-41d95f45639c,259,126.83333333333334,132.16666666666666
65,fcf7151c-94ce-11e8-9aff-fc60c095174f,217,126.75,90.25
78,c5eb79ce-a085-11e8-a080-41d95f45639c,165,118.8,46.2
10,e028d788-a1f1-11e8-9f37-8f4a631f500f,569,118.0,451.0
195,4b3cddae-9a2b-11e8-a40c-1e0e02e95e35,247,111.14285714285714,135.85714285714286
66,1a789cb2-9b07-11e8-b29c-f017b12b5a53,512,109.66666666666669,402.3333333333333
98,c43b5286-a146-11e8-bf2c-8f4a631f500f,196,105.4,90.6
163,f462cb8c-957b-11e8-b8cb-fc60c095174f,163,101.5,61.5
142,45b330ee-9a18-11e8-b397-f017b12b5a53,185,99.75,85.25
125,6586e2d8-a14f-11e8-afd8-8f4a631f500f,151,99.6,51.4
166,138ad2d4-9559-11e8-993b-2078d824af27,225,97.66666666666667,127.33333333333333
22,72319330-9ed3-11e8-8dc8-eb1702e95e35,284,96.66666666666666,187.33333333333334
212,8453807a-93f0-11e8-b468-fc60c095174f,299,96.0,203.0
114,5465e68c-9968-11e8-b9c7-852902e95e35,244,95.4,148.6
485,0814e520-9d3d-11e8-89aa-a25db12b5a53,337,92.125,244.875
94,c97f5c78-9977-11e8-a79d-852902e95e35,163,92.0,71.0
188,69f972a4-a168-11e8-9077-41d95f45639c,239,90.83333333333334,148.16666666666666
48,f0342652-96f5-11e8-83ad-2078d824af27,156,85.0,71.0
103,ae8e992c-a08b-11e8-9082-41d95f45639c,567,84.71428571428572,482.2857142857143
233,42321806-94b7-11e8-9e55-fc60c095174f,155,83.0,72.0
107,3924a578-9659-11e8-ae1c-fc60c095174f,114,80.42857142857143,33.57142857142857
46,2104c2e2-9eca-11e8-ba53-eb1702e95e35,238,79.33333333333334,158.66666666666666
28,94bc8c7e-9c8b-11e8-a40e-a25db12b5a53,347,79.25,267.75
109,6d7eb81e-9af9-11e8-88d9-f017b12b5a53,213,75.88888888888889,137.11111111111111
11,99301356-9953-11e8-8039-2078d824af27,134,73.5,60.5
100,a1ef9464-9a46-11e8-8b2a-1e0e02e95e35,109,71.25,37.75
67,907ae110-96eb-11e8-96a7-fc60c095174f,136,67.8,68.2
185,bce1283c-a1fd-11e8-897e-41d95f45639c,158,67.0,91.0
157,456b68e4-9ca8-11e8-884c-eb1702e95e35,107,61.0,46.0
524,3446b5f6-956d-11e8-a183-fc60c095174f,264,58.099999999999994,205.9
74,0814e520-9d3d-11e8-89aa-a25db12b5a53,302,57.125,244.875
126,5ee74e7c-9ef2-11e8-9047-eb1702e95e35,125,55.5,69.5
102,9812c736-a211-11e8-9004-8f4a631f500f,109,55.2,53.8
122,f0342652-96f5-11e8-83ad-2078d824af27,126,55.0,71.0
54,72319330-9ed3-11e8-8dc8-eb1702e95e35,239,51.66666666666666,187.33333333333334
71,bce1283c-a1fd-11e8-897e-41d95f45639c,141,50.0,91.0
202,421f65a6-93f6-11e8-925d-fc60c095174f,137,48.25,88.75
44,163999e2-9af0-11e8-87aa-1e0e02e95e35,170,47.33333333333333,122.66666666666667
176,07b77414-9f98-11e8-b572-eb1702e95e35,116,46.33333333333333,69.66666666666667
127,82386dd2-9ba2-11e8-86e9-a25db12b5a53,163,46.2,116.8
93,2638cfae-9c74-11e8-96ad-a25db12b5a53,299,45.71428571428572,253.28571428571428
222,ea50192c-9708-11e8-82a3-2078d824af27,151,42.400000000000006,108.6
34,ae91f93c-964f-11e8-aa2d-2078d824af27,322,41.333333333333314,280.6666666666667
129,2104c2e2-9eca-11e8-ba53-eb1702e95e35,198,39.33333333333334,158.66666666666666
178,1f70904e-9b02-11e8-bc21-f017b12b5a53,64,38.6,25.4
37,50d199a0-a460-11e8-98a1-41d95f45639c,246,37.5,208.5
13,6d7eb81e-9af9-11e8-88d9-f017b12b5a53,173,35.888888888888886,137.11111111111111
366,d95fc914-170b-11e8-b027-36686c0143b9,295,35.666666666666686,259.3333333333333
169,108aa054-96fe-11e8-bcbd-2078d824af27,93,35.6,57.4
58,5465e68c-9968-11e8-b9c7-852902e95e35,184,35.400000000000006,148.6
137,907ae110-96eb-11e8-96a7-fc60c095174f,103,34.8,68.2
108,108aa054-96fe-11e8-bcbd-2078d824af27,91,33.6,57.4
228,1f0b2036-a22f-11e8-9d4d-8f4a631f500f,84,32.8,51.2
133,fcf7151c-94ce-11e8-9aff-fc60c095174f,123,32.75,90.25
121,9a432d1c-9fa9-11e8-b1b7-a25db12b5a53,189,31.80000000000001,157.2
253,a834ff8a-93d9-11e8-ae17-2078d824af27,75,31.0,44.0
128,6d99ea58-a125-11e8-85de-8f4a631f500f,63,29.200000000000003,33.8
265,aa8477c6-a224-11e8-b201-41d95f45639c,53,28.0,25.0
172,adcf3b3c-9ef0-11e8-a762-a25db12b5a53,53,27.75,25.25
394,3080a7a0-81b4-11e8-9638-f86fca9e9af2,41,26.666666666666664,14.333333333333334
309,fd0296d2-93ff-11e8-a43c-fc60c095174f,212,24.5,187.5
193,ea50192c-9708-11e8-82a3-2078d824af27,133,24.400000000000006,108.6
130,1c419614-9fb9-11e8-b9f9-eb1702e95e35,49,24.0,25.0
555,21b31f3a-a12d-11e8-be1d-41d95f45639c,156,23.833333333333343,132.16666666666666
165,fe3217ec-9a0f-11e8-b345-107bb12b5a53,50,23.666666666666668,26.333333333333332
85,78c3ab34-a487-11e8-9645-8f4a631f500f,48,23.0,25.0
238,b9a82542-971e-11e8-815e-fc60c095174f,31,21.833333333333336,9.166666666666666
255,3bfd7946-9014-11e8-833b-2078d824af27,61,21.0,40.0
230,e9383386-995f-11e8-a4ed-852902e95e35,49,18.666666666666668,30.333333333333332
20,e028d788-a1f1-11e8-9f37-8f4a631f500f,468,17.0,451.0
182,b6f434f0-9631-11e8-8a60-fc60c095174f,38,16.5,21.5
535,e53a6e88-90a5-11e8-a466-2078d824af27,23,16.2,6.8
1,99301356-9953-11e8-8039-2078d824af27,76,15.5,60.5
270,c43b5286-a146-11e8-bf2c-8f4a631f500f,106,15.400000000000006,90.6
196,5ee74e7c-9ef2-11e8-9047-eb1702e95e35,84,14.5,69.5
284,f462cb8c-957b-11e8-b8cb-fc60c095174f,75,13.5,61.5
83,96de7c24-00eb-11e8-8743-a08db8bcf5f7,28,13.5,14.5
231,fa5e724a-9baa-11e8-856a-eb1702e95e35,22,12.5,9.5
240,ea50192c-9708-11e8-82a3-2078d824af27,121,12.400000000000006,108.6
256,1f0b2036-a22f-11e8-9d4d-8f4a631f500f,63,11.799999999999997,51.2
398,9258c4e2-9188-11e8-baef-fc60c095174f,24,11.666666666666666,12.333333333333334
156,b6f434f0-9631-11e8-8a60-fc60c095174f,33,11.5,21.5
206,e129338e-963f-11e8-a542-2078d824af27,70,11.399999999999999,58.6
55,6d99ea58-a125-11e8-85de-8f4a631f500f,45,11.200000000000003,33.8
207,1c3a3da4-a06a-11e8-815c-41d95f45639c,28,11.0,17.0
134,2638cfae-9c74-11e8-96ad-a25db12b5a53,264,10.714285714285722,253.28571428571428
283,9f71df54-a215-11e8-92a5-8f4a631f500f,34,10.2,23.8
