"docUuid","visitors","desktop_search_R","desktop_search_V","desktop_search_S3"
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","525792",1618,2040,1673
"99301356-9953-11e8-8039-2078d824af27","255872",46,76,53
"e028d788-a1f1-11e8-9f37-8f4a631f500f","250861",441,585,457
"c83591a6-a05d-11e8-af80-8f4a631f500f","241965",389,532,406
"3446b5f6-956d-11e8-a183-fc60c095174f","219731",103,124,114
"ae8e992c-a08b-11e8-9082-41d95f45639c","210891",1400,2162,1483
"6c6da284-9f98-11e8-bbcf-eb1702e95e35","199090",548,875,562
"3446b5f6-956d-11e8-a183-fc60c095174f","189875",659,798,706
"3d66192a-9490-11e8-9907-2078d824af27","189041",1394,1826,1497
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","166532",496,700,535
"e028d788-a1f1-11e8-9f37-8f4a631f500f","157542",411,569,439
"99301356-9953-11e8-8039-2078d824af27","149778",88,134,101
"fa18e6d4-9bb5-11e8-a60f-eb1702e95e35","145605",0,14,10
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","145078",128,173,137
"b769cd20-a2b4-11e8-9c73-8f4a631f500f","142381",46,91,49
"85c70544-9a3f-11e8-8dd7-f017b12b5a53","140785",253,367,267
"ae91f93c-964f-11e8-aa2d-2078d824af27","140762",568,1093,581
"69f972a4-a168-11e8-9077-41d95f45639c","140137",228,362,246
"c83591a6-a05d-11e8-af80-8f4a631f500f","133677",676,912,700
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","132697",1626,1906,1730
"e028d788-a1f1-11e8-9f37-8f4a631f500f","132626",329,468,354
"94bc8c7e-9c8b-11e8-a40e-a25db12b5a53","130294",109,141,114
"72319330-9ed3-11e8-8dc8-eb1702e95e35","126450",220,284,227
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","124521",48,58,54
"e028d788-a1f1-11e8-9f37-8f4a631f500f","123246",309,422,331
"50d199a0-a460-11e8-98a1-41d95f45639c","111587",111,171,119
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","110608",1950,2317,2001
"10e87e8a-94a2-11e8-ba78-2078d824af27","107892",1450,1645,1485
"94bc8c7e-9c8b-11e8-a40e-a25db12b5a53","107292",268,347,281
"0e3b9ca8-9ef7-11e8-9137-eb1702e95e35","104997",755,914,799
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","104320",1425,1586,1451
