"docUuid","visitors","MAX(shareTotal)","visits_social","social_R","social_V","social_S3"
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","525792",3972,"2782","807","1019","825"
"99301356-9953-11e8-8039-2078d824af27","255872",34,"4","2","2","2"
"e028d788-a1f1-11e8-9f37-8f4a631f500f","250861",60,"77","20","30","21"
"c83591a6-a05d-11e8-af80-8f4a631f500f","241965",24,"36","10","12","10"
"3446b5f6-956d-11e8-a183-fc60c095174f","219731",41,"12","6","7","7"
"ae8e992c-a08b-11e8-9082-41d95f45639c","210891",27,"7","1","3","2"
"6c6da284-9f98-11e8-bbcf-eb1702e95e35","199090",50,"15","2","10","3"
"3446b5f6-956d-11e8-a183-fc60c095174f","189875",73,"21","11","11","11"
"3d66192a-9490-11e8-9907-2078d824af27","189041",69,"55","12","20","13"
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","166532",48,"21","10","12","11"
"e028d788-a1f1-11e8-9f37-8f4a631f500f","157542",106,"54","9","17","9"
"99301356-9953-11e8-8039-2078d824af27","149778",52,"8","3","4","3"
"fa18e6d4-9bb5-11e8-a60f-eb1702e95e35","145605",41,"24","2","13","8"
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","145078",19,"11","5","6","5"
"b769cd20-a2b4-11e8-9c73-8f4a631f500f","142381",113,"53","10","21","12"
"85c70544-9a3f-11e8-8dd7-f017b12b5a53","140785",41,"38","5","11","5"
"ae91f93c-964f-11e8-aa2d-2078d824af27","140762",177,"61","14","22","14"
"69f972a4-a168-11e8-9077-41d95f45639c","140137",169,"65","20","27","19"
"c83591a6-a05d-11e8-af80-8f4a631f500f","133677",30,"15","7","8","7"
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","132697",105,"59","23","32","27"
"e028d788-a1f1-11e8-9f37-8f4a631f500f","132626",121,"47","16","20","17"
"94bc8c7e-9c8b-11e8-a40e-a25db12b5a53","130294",53,"22","9","13","10"
"72319330-9ed3-11e8-8dc8-eb1702e95e35","126450",15,"8","1","3","1"
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","124521",903,"982","202","241","208"
"e028d788-a1f1-11e8-9f37-8f4a631f500f","123246",157,"40","15","24","15"
"50d199a0-a460-11e8-98a1-41d95f45639c","111587",41,"8","3","4","3"
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","110608",74,"64","14","16","14"
"10e87e8a-94a2-11e8-ba78-2078d824af27","107892",32,"31","4","7","4"
"94bc8c7e-9c8b-11e8-a40e-a25db12b5a53","107292",65,"4","2","2","2"
"0e3b9ca8-9ef7-11e8-9137-eb1702e95e35","104997",112,"99","37","44","38"
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","104320",147,"59","23","24","24"
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","103656",42,"43","14","18","14"
"c429cfac-9593-11e8-863b-fc60c095174f","101747",13,"6","2","3","2"
"3a0c5bde-a52c-11e8-bd20-41d95f45639c","99190",26,"37","7","18","7"
"ae91f93c-964f-11e8-aa2d-2078d824af27","97951",82,"58","21","33","21"
"0e3b9ca8-9ef7-11e8-9137-eb1702e95e35","94193",56,"40","15","21","17"
"94bc8c7e-9c8b-11e8-a40e-a25db12b5a53","93839",59,"11","4","7","4"
"50d199a0-a460-11e8-98a1-41d95f45639c","93171",30,"13","5","5","5"
"335b20e6-9f90-11e8-80d1-eb1702e95e35","90978",37,"22","10","11","11"
"94bc8c7e-9c8b-11e8-a40e-a25db12b5a53","90533",33,"5","2","3","2"
"6c6da284-9f98-11e8-bbcf-eb1702e95e35","90366",78,"14","6","10","6"
"ae8e992c-a08b-11e8-9082-41d95f45639c","88713",14,"5","3","4","3"
"9a432d1c-9fa9-11e8-b1b7-a25db12b5a53","82953",32,"11","1","3","2"
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","80775",126,"83","29","30","29"
"163999e2-9af0-11e8-87aa-1e0e02e95e35","78575",17,"19","6","8","6"
"bc306efe-a44e-11e8-b3aa-41d95f45639c","77329",24,"7","4","6","4"
"2104c2e2-9eca-11e8-ba53-eb1702e95e35","73571",5,"5","2","4","2"
"c8ba8210-94b1-11e8-ac97-2078d824af27","72397",16,"21","8","10","8"
"f0342652-96f5-11e8-83ad-2078d824af27","72030",14,"873","499","852","532"
"0814e520-9d3d-11e8-89aa-a25db12b5a53","69936",55,"32","5","8","5"
"9a432d1c-9fa9-11e8-b1b7-a25db12b5a53","69464",50,"4","1","2","1"
"5465e68c-9968-11e8-b9c7-852902e95e35","68366",24,"12","3","5","3"
"85c70544-9a3f-11e8-8dd7-f017b12b5a53","68205",24,"26","8","11","8"
"fe3217ec-9a0f-11e8-b345-107bb12b5a53","66881",23,"72","38","52","38"
"72319330-9ed3-11e8-8dc8-eb1702e95e35","62337",25,"3","1","1","1"
"6d99ea58-a125-11e8-85de-8f4a631f500f","62023",33,"13","5","8","6"
